	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU866	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium intermedium
OTU867	Fungi	NA	NA	NA	NA	NA	NA
OTU868	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU869	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU870	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU871	Fungi	NA	NA	NA	NA	NA	NA
OTU872	Fungi	NA	NA	NA	NA	NA	NA
OTU873	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Protomyces	NA
OTU874	Fungi	NA	NA	NA	NA	NA	NA
OTU875	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Gelatoporia	Gelatoporia subvermispora
OTU876	Fungi	NA	NA	NA	NA	NA	NA
OTU877	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
OTU878	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	Phoma eupyrena
OTU879	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU880	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia pamirica
OTU881	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	NA
OTU882	Fungi	NA	NA	NA	NA	NA	NA
OTU883	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU884	Fungi	NA	NA	NA	NA	NA	NA
OTU885	Fungi	NA	NA	NA	NA	NA	NA
OTU886	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
OTU887	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU888	Fungi	NA	NA	NA	NA	NA	NA
OTU889	Fungi	NA	NA	NA	NA	NA	NA
OTU890	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
OTU891	Fungi	Basidiomycota	Microbotryomycetes	NA	NA	NA	NA
OTU892	Fungi	NA	NA	NA	NA	NA	NA
OTU893	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU894	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Dichomitus	NA
OTU895	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU896	Fungi	NA	NA	NA	NA	NA	NA
OTU897	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
OTU899	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Rhinocladiella atrovirens
OTU900	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU901	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Schenella	NA
OTU902	Fungi	NA	NA	NA	NA	NA	NA
OTU903	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Lectera	NA
OTU904	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Kuraishia	Kuraishia capsulata
OTU905	Fungi	NA	NA	NA	NA	NA	NA
OTU906	Fungi	Ascomycota	Dothideomycetes	Venturiales	NA	NA	NA
OTU907	Fungi	NA	NA	NA	NA	NA	NA
OTU908	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU909	Fungi	NA	NA	NA	NA	NA	NA
OTU910	Fungi	Olpidiomycota	NA	NA	NA	NA	NA
OTU911	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Coniothyrium	NA
OTU912	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU913	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
OTU914	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU915	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU916	Fungi	Basidiomycota	Microbotryomycetes	NA	Chrysozymaceae	Sampaiozyma	NA
OTU917	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU918	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU919	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	Trapeliaceae	Trapeliopsis	Trapeliopsis californica
OTU920	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phanerochaete	NA
OTU921	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporidiobolus	Sporidiobolus pararoseus
OTU922	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	NA
OTU923	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
OTU924	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Dendryphion	Dendryphion nanum
OTU925	Fungi	NA	NA	NA	NA	NA	NA
OTU926	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
OTU927	Fungi	NA	NA	NA	NA	NA	NA
OTU928	Fungi	NA	NA	NA	NA	NA	NA
OTU929	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU930	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
OTU931	Fungi	Ascomycota	Dothideomycetes	Venturiales	NA	NA	NA
OTU932	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiopoacea	Lophiopoacea winteri
OTU933	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	Clitopilus hobsonii
OTU934	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU935	Fungi	Ascomycota	Dothideomycetes	Venturiales	NA	NA	NA
OTU936	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia africana
OTU937	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU938	Fungi	NA	NA	NA	NA	NA	NA
OTU939	Fungi	NA	NA	NA	NA	NA	NA
OTU940	Fungi	NA	NA	NA	NA	NA	NA
OTU941	Fungi	NA	NA	NA	NA	NA	NA
OTU942	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	NA
OTU943	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	NA	NA	NA
OTU944	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU945	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Neocamarosporium	Neocamarosporium goegapense
OTU946	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopyxis	NA
OTU947	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Kurtzmanomyces	NA
OTU948	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	NA
OTU949	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU950	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	NA
OTU951	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU952	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU953	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU954	Fungi	NA	NA	NA	NA	NA	NA
OTU955	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU956	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA
OTU957	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU958	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	NA
OTU959	Fungi	NA	NA	NA	NA	NA	NA
OTU960	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
OTU961	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	NA
OTU962	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU963	Fungi	NA	NA	NA	NA	NA	NA
OTU964	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU965	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU966	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydospora
OTU967	Fungi	NA	NA	NA	NA	NA	NA
OTU968	Fungi	NA	NA	NA	NA	NA	NA
OTU969	Fungi	NA	NA	NA	NA	NA	NA
OTU970	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	NA	NA
OTU971	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU972	Fungi	NA	NA	NA	NA	NA	NA
OTU974	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	Cenococcum geophilum
OTU975	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
OTU976	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU977	Fungi	NA	NA	NA	NA	NA	NA
OTU978	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU979	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	NA	NA
OTU980	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Lambertella	NA
OTU981	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta	NA
OTU982	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU983	Fungi	NA	NA	NA	NA	NA	NA
OTU984	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	NA
OTU985	Fungi	NA	NA	NA	NA	NA	NA
OTU986	Fungi	NA	NA	NA	NA	NA	NA
OTU987	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	Phialocephala dimorphospora
OTU988	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus odoratus
OTU989	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU990	Fungi	NA	NA	NA	NA	NA	NA
OTU991	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU992	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis heliopsidis
OTU993	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phlebia	Phlebia centrifuga
OTU994	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
OTU995	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris brizae
OTU996	Fungi	NA	NA	NA	NA	NA	NA
OTU997	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU998	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU999	Fungi	NA	NA	NA	NA	NA	NA
OTU1000	Fungi	NA	NA	NA	NA	NA	NA
OTU1001	Fungi	NA	NA	NA	NA	NA	NA
OTU1002	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	NA	NA
OTU1004	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium capitatum
OTU1005	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Myxozyma	Myxozyma melibiosi
OTU1006	Fungi	NA	NA	NA	NA	NA	NA
OTU1007	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1008	Fungi	NA	NA	NA	NA	NA	NA
OTU1009	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
OTU1010	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1011	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	NA
OTU1012	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus colostri
OTU1013	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	NA
OTU1014	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU1015	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1016	Fungi	NA	NA	NA	NA	NA	NA
OTU1017	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1019	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Phomopsis	Phomopsis quercina
OTU1020	Fungi	NA	NA	NA	NA	NA	NA
OTU1021	Rhizaria	NA	NA	NA	NA	NA	NA
OTU1022	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
OTU1023	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	NA	NA
OTU1024	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU1025	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU1026	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	NA
OTU1027	Fungi	NA	NA	NA	NA	NA	NA
OTU1028	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1029	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU1030	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU1031	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU1032	Fungi	NA	NA	NA	NA	NA	NA
OTU1033	Fungi	Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae	NA	NA
OTU1034	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1035	Fungi	NA	NA	NA	NA	NA	NA
OTU1036	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1037	Fungi	NA	NA	NA	NA	NA	NA
OTU1038	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Paecilomyces	Paecilomyces formosa
OTU1039	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1040	Fungi	Ascomycota	Lecanoromycetes	Candelariales	Candelariaceae	Candelaria	Candelaria pacifica
OTU1041	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU1042	Fungi	Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae	Heterobasidion	NA
OTU1043	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	NA
OTU1044	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1045	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria solani
OTU1046	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenastraceae	Mycenastrum	Mycenastrum corium
OTU1047	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1048	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	NA
OTU1049	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma podzolica
OTU1051	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU1052	Fungi	NA	NA	NA	NA	NA	NA
OTU1053	Fungi	NA	NA	NA	NA	NA	NA
OTU1054	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma globispora
OTU1055	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU1056	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1057	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	Cuniculitrema	Cuniculitrema polymorpha
OTU1058	Fungi	NA	NA	NA	NA	NA	NA
OTU1059	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1060	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Paecilomyces	Paecilomyces penicillatus
OTU1061	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium vanoranjei
OTU1062	Fungi	NA	NA	NA	NA	NA	NA
OTU1063	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Phaeophyscia	NA
OTU1064	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium murcianum
OTU1065	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
OTU1066	Fungi	NA	NA	NA	NA	NA	NA
OTU1067	Fungi	NA	NA	NA	NA	NA	NA
OTU1068	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU1069	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1070	Fungi	NA	NA	NA	NA	NA	NA
OTU1071	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1072	Fungi	NA	NA	NA	NA	NA	NA
OTU1073	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Geosmithia	NA
OTU1074	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	NA	NA
OTU1075	Fungi	NA	NA	NA	NA	NA	NA
OTU1076	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Skeletocutis	Skeletocutis chrysella
OTU1077	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1078	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1079	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1080	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1081	Fungi	NA	NA	NA	NA	NA	NA
OTU1083	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU1084	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1085	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium delphinoides
OTU1086	Fungi	NA	NA	NA	NA	NA	NA
OTU1087	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Guehomyces	NA
OTU1088	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1089	Fungi	NA	NA	NA	NA	NA	NA
OTU1090	Fungi	NA	NA	NA	NA	NA	NA
OTU1091	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Aphanoascus	Aphanoascus keratinophilus
OTU1092	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU1093	Fungi	Basidiomycota	Pucciniomycetes	NA	NA	NA	NA
OTU1094	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1095	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumigatus
OTU1096	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
OTU1097	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU1098	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1099	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1100	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1101	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU1102	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1103	Fungi	NA	NA	NA	NA	NA	NA
OTU1104	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	NA
OTU1105	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1106	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1107	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
OTU1108	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1109	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1110	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1111	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU1112	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Cylindroseptoria	Cylindroseptoria ceratoniae
OTU1114	Fungi	NA	NA	NA	NA	NA	NA
OTU1115	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1116	Fungi	NA	NA	NA	NA	NA	NA
OTU1117	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
OTU1118	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Mollisia	Mollisia cinerea
OTU1119	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
OTU1120	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1121	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cosmospora	Cosmospora viridescens
OTU1122	Fungi	NA	NA	NA	NA	NA	NA
OTU1123	Fungi	NA	NA	NA	NA	NA	NA
OTU1124	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia marmoricola
OTU1125	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1126	Fungi	Basidiomycota	Microbotryomycetes	NA	NA	NA	NA
OTU1127	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1128	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	NA	NA
OTU1129	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1130	Fungi	NA	NA	NA	NA	NA	NA
OTU1131	Fungi	NA	NA	NA	NA	NA	NA
OTU1132	Fungi	NA	NA	NA	NA	NA	NA
OTU1133	Fungi	NA	NA	NA	NA	NA	NA
OTU1134	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia bhutanensis
OTU1135	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Stylonectria	Stylonectria purtonii
OTU1136	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Vuilleminiaceae	NA	NA
OTU1137	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1138	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Graphilbum	NA
OTU1139	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	NA
OTU1140	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1141	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1142	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1143	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	NA
OTU1144	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Ceratocystiopsis	NA
OTU1145	Fungi	NA	NA	NA	NA	NA	NA
OTU1146	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU1147	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1148	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	NA	NA
OTU1149	Fungi	NA	NA	NA	NA	NA	NA
OTU1150	Fungi	NA	NA	NA	NA	NA	NA
OTU1151	Fungi	NA	NA	NA	NA	NA	NA
OTU1152	Fungi	NA	NA	NA	NA	NA	NA
OTU1153	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	NA
OTU1154	Fungi	NA	NA	NA	NA	NA	NA
OTU1155	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista pusilla
OTU1156	Fungi	NA	NA	NA	NA	NA	NA
OTU1157	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1158	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Truncatella	Truncatella angustata
OTU1159	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus subsessilis
OTU1161	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
OTU1162	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	Cryptococcus	NA
OTU1163	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU1164	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Clypeosphaeria	NA
OTU1165	Fungi	NA	NA	NA	NA	NA	NA
OTU1166	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Oleoguttula	NA
OTU1167	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1168	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	NA
OTU1169	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Juncaceicola	Juncaceicola typharum
OTU1171	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1172	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Tolypocladium	Tolypocladium pustulatum
OTU1174	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	NA
OTU1175	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	NA
OTU1176	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU1177	Fungi	NA	NA	NA	NA	NA	NA
OTU1178	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothidea	Dothidea insculpta
OTU1179	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1180	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
OTU1181	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1182	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	NA
OTU1183	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1184	Fungi	Olpidiomycota	NA	NA	NA	NA	NA
OTU1185	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phlebia	NA
OTU1186	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
OTU1187	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1188	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU1189	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola fuscoatra
OTU1190	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	Ganoderma lucidum
OTU1191	Fungi	Basidiomycota	Agaricomycetes	Boletales	Pisolithaceae	Pisolithus	NA
OTU1192	Fungi	NA	NA	NA	NA	NA	NA
OTU1193	Fungi	NA	NA	NA	NA	NA	NA
OTU1194	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU1195	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Kabatina	NA
OTU1196	Fungi	NA	NA	NA	NA	NA	NA
OTU1198	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	NA	NA
OTU1199	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella reticulata
OTU1200	Fungi	NA	NA	NA	NA	NA	NA
OTU1202	Fungi	NA	NA	NA	NA	NA	NA
OTU1203	Fungi	NA	NA	NA	NA	NA	NA
OTU1204	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	NA	NA	NA
OTU1205	Fungi	NA	NA	NA	NA	NA	NA
OTU1206	Fungi	Basidiomycota	NA	NA	NA	NA	NA
