OTU ID	AJ414	AP114	AS114	AT414	JJ114	JJ415	JJ515	JP315	JP414	JP515	JS115	JS415	JT115	JT314	JT415	OJ415	OJ514	OJ515	OJ615	OP315	OP515	OP614	OP615	OS115	OS214	OS415	OS615	OT115	OT414	OT415	OT515
OTU1078	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1
OTU1079	0	0	0	2	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU108	227	95	0	7	0	0	0	7	59	3	0	0	10	15	11	0	4	0	3	2	5	186	4	0	1	0	0	2	36	1	5
OTU1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	6	1	0
OTU1081	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
OTU1083	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1084	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU1085	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1086	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1087	1	3	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0
OTU1088	0	0	0	0	0	2	0	0	0	1	2	0	1	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	2
OTU1089	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU1090	5	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1091	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1092	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
OTU1093	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	2
OTU1094	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1095	0	0	0	1	5	2	4	0	0	0	0	0	0	2	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	1	0
OTU1096	9	12	1	240	29	72	46	42	58	95	46	26	184	20	23	82	35	126	178	79	47	5	74	64	9	42	32	78	22	60	84
OTU1097	1	3	0	0	0	0	3	0	4	0	0	0	0	0	1	0	5	1	1	0	0	2	0	0	0	0	0	0	2	0	1
OTU1098	2	0	0	1	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU1099	0	0	0	1	0	1	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU11	10	1375	1184	37	4	0	2	42	14102	60	22	14	5	46	7	0	3	0	0	4	6	36	9	9	68	20	2	2	101	1	0
OTU110	18	7	1	81	9	41	51	0	8	0	2	2	54	105	24	24	9	8	10	0	0	0	0	0	10	1	1	8	299	7	9
OTU1100	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	0
OTU1101	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0
OTU1102	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
OTU1104	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0
OTU1105	1	1	2	2	1	0	0	0	1	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU1106	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0
OTU1107	0	0	0	7	0	1	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	1	0	0	4	0	0
OTU1108	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU1109	20	2	0	2	23	28	17	0	0	0	0	1	4	7	0	3	5	4	1	1	1	6	0	2	0	1	0	2	2	3	1
OTU111	0	0	0	45	0	0	1	0	0	0	0	0	1	122	0	0	0	1	0	0	0	0	0	0	0	0	0	4	509	1	0
OTU1110	0	0	0	1	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU1111	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU1112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1114	0	0	0	1	0	0	5	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
OTU1115	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU1116	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1117	0	1	0	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU1118	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0
OTU1119	0	0	0	3	0	0	0	0	1	0	0	0	2	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU112	0	41	0	0	0	0	0	0	58	4	0	0	0	1	0	0	0	0	0	2	3	384	6	0	0	0	0	0	0	0	0
OTU1120	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0
OTU1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0
OTU1122	0	0	1	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0
